x,psi_0,psi_1,psi_2,psi_3,psi_4,psi_5
-4.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00
-3.993333333333333179e+00,4.956262026890851519e-26,-2.690445634650489444e-26,-1.090519797178796134e-25,2.400968951161150897e-25,5.723116148959960417e-25,-1.379459356977650274e-24
-3.986666666666666803e+00,1.040652490294596439e-25,-5.648918343381142523e-26,-2.289332898379714571e-25,5.039785367769897698e-25,1.201126978938826617e-24,-2.894597364304151382e-24
-3.979999999999999982e+00,1.688715778288526238e-25,-9.166417498993663985e-26,-3.713975433188137980e-25,8.174532086439015197e-25,1.947735644920966762e-24,-4.692527226480135724e-24
-3.973333333333333162e+00,2.502805946055608051e-25,-1.358465681632185649e-25,-5.502393726855461821e-25,1.210798531977147577e-24,2.884000524998850110e-24,-6.945633055770178716e-24
-3.966666666666666785e+00,3.561202826090768901e-25,-1.932825465557501648e-25,-7.825895162054164847e-25,1.721596688367822713e-24,4.099063056622102971e-24,-9.867589590576229579e-24
-3.959999999999999964e+00,4.964719352831094619e-25,-2.694400190428794905e-25,-1.090493528867467276e-24,2.398188690267641337e-24,5.707506257049944978e-24,-1.373284868066170210e-23
-3.953333333333333144e+00,6.845896564953296864e-25,-3.715070598841647450e-25,-1.502914263742915192e-24,3.304053496706691082e-24,7.859695551513955194e-24,-1.890130364767293425e-23
-3.946666666666666767e+00,9.380953088660521720e-25,-5.090395929529806194e-25,-2.058332161304270296e-24,4.523491480048611913e-24,1.075518998161731179e-23,-2.585025105394242943e-23
-3.939999999999999947e+00,1.280551585722140507e-24,-6.948139382647784467e-25,-2.808165780477196021e-24,6.169096991790073528e-24,1.466036298347520553e-23,-3.521635241236538399e-23
-3.933333333333333126e+00,1.743546700626467463e-24,-9.459565246461871512e-25,-3.821301525220217244e-24,8.391649391782750515e-24,1.993171063989818394e-23,-4.785109887857567243e-23
-3.926666666666666750e+00,2.369465756336999614e-24,-1.285445576374795825e-24,-5.190111194803002872e-24,1.139324679165146867e-23,2.704678154511343254e-23,-6.489435963477540929e-23
-3.919999999999999929e+00,3.215179337471755534e-24,-1.744109616126672488e-24,-7.038455604937255285e-24,1.544476662287693556e-23,3.664527042033262742e-23,-8.787202993489016639e-23
-3.913333333333333108e+00,4.356953477746313657e-24,-2.363287468716468972e-24,-9.532331116717619238e-24,2.090908151062209789e-23,4.958362286657190030e-23,-1.188256943947868036e-22
-3.906666666666666732e+00,5.896982435157657588e-24,-3.198367102734710810e-24,-1.289402536703251349e-23,2.827191355436053178e-23,6.700756101957543023e-23,-1.604847255465073011e-22
-3.899999999999999911e+00,7.972073951639609689e-24,-4.323490050062489769e-24,-1.742092441607215296e-23,3.818280871872167131e-23,9.044833781156673500e-23,-2.164945307771452943e-22
-3.893333333333333535e+00,1.076518540491326164e-23,-5.837799448538497572e-24,-2.351047630013040723e-23,5.150949968649659767e-23,1.219503634271361675e-22,-2.917189823446769400e-22
-3.886666666666666714e+00,1.452073091112216020e-23,-7.873729682754030763e-24,-3.169329218013617608e-23,6.940995764342870550e-23,1.642402546939174162e-22,-3.926407272500155708e-22
-3.879999999999999893e+00,1.956487019921149984e-23,-1.060799290632793564e-23,-4.267699049984547229e-23,9.342778574673826780e-23,2.209505098819965797e-22,-5.278904816426933829e-22
-3.873333333333333517e+00,2.633237100906008954e-23,-1.427612379960591753e-23,-5.740420676268147856e-23,1.256183764896554568e-22,2.969151326285300661e-22,-7.089460937362252200e-22
-3.866666666666666696e+00,3.540213521185901239e-23,-1.919171353163003113e-23,-7.712926003296027916e-23,1.687155676368930630e-22,3.985599109723824595e-22,-9.510547905367863539e-22
-3.859999999999999876e+00,4.754413028216645735e-23,-2.577181622486042713e-23,-1.035193626598312450e-22,2.263515498496182652e-22,5.344170780986043727e-22,-1.274448487285139825e-21
-3.853333333333333499e+00,6.378131811270116448e-23,-3.457047109596917951e-23,-1.387880798556601519e-22,3.033467143817517919e-22,7.158032281180714106e-22,-1.705943471324523143e-21
-3.846666666666666679e+00,8.547128190086786036e-23,-4.632288298834900930e-23,-1.858711171245233995e-22,4.060912537296778546e-22,9.577112627979517375e-22,-2.281043640833443806e-21
-3.839999999999999858e+00,1.144136957685014416e-22,-6.200358472701439355e-23,-2.486575994530741814e-22,5.430469934076369985e-22,1.279982615700154832e-21,-3.046702673265442105e-21
-3.833333333333333481e+00,1.529916600523159865e-22,-8.290292017889467735e-23,-3.322940172709928622e-22,7.254065922303112691e-22,1.708846084616811418e-21,-4.064947450316627753e-21
