x,V,psi_0,density_0,psi_1,density_1,psi_2,density_2,psi_3,density_3,psi_4,density_4,psi_5,density_5
-4.000000000000000000e+00,1.124000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
-3.995999999999999996e+00,1.119208514881280053e+03,2.943245525768780178e-26,8.662694224957943368e-52,-1.597712062887127392e-26,2.552683835895040209e-52,-6.476208768059468546e-26,4.194128000749033730e-51,1.425882422657098734e-25,2.033140683242477221e-50,3.398939559874832779e-25,1.155279013168212181e-49,-8.192851869132325500e-25,6.712282174954504340e-49
-3.991999999999999993e+00,1.114432039060479838e+03,5.991897769498486424e-26,3.590283888012093758e-51,-3.252614534559005989e-26,1.057950131042449907e-51,-1.318350215100521567e-25,1.738047289655591518e-50,2.902520788155462970e-25,8.424626925674610228e-50,6.918463741480233676e-25,4.786514054217667241e-49,-1.667527506197594972e-24,2.780647983925569929e-48
-3.987999999999999989e+00,1.109670541863680000e+03,9.254292661927103471e-26,8.564193267259783029e-51,-5.023485876310294362e-26,2.523541034948900565e-51,-2.035934960898223238e-25,4.145031165007649730e-50,4.482068098575667978e-25,2.008893444026970515e-49,1.068245872618593098e-24,1.141149244366659458e-48,-2.574472222751709185e-24,6.627907225720125522e-48
-3.983999999999999986e+00,1.104923992647680052e+03,1.284542492057624373e-25,1.650049413901611977e-50,-6.972715037351944298e-26,4.861875499211392564e-51,-2.825574885533387257e-25,7.983873433757014537e-50,6.219858300014267979e-25,3.868663727225637720e-49,1.482233472314998123e-24,2.197016066450976206e-48,-3.571662528034513547e-24,1.275677321416589147e-47
-3.979999999999999982e+00,1.100192360800000188e+03,1.689092275306151193e-25,2.853032714498910909e-50,-9.168456762876011865e-26,8.406059941272687862e-51,-3.714790292162928353e-25,1.379966691474793488e-49,8.176306844311625600e-25,6.685199361233713570e-49,1.948152387691069506e-24,3.795297725666415422e-48,-4.693515009646126502e-24,2.202908314577348046e-47
-3.975999999999999979e+00,1.095475615738880151e+03,2.153132759630714874e-25,4.635980680594978212e-50,-1.168695217726347732e-25,1.365848511936435429e-50,-4.734355923023609327e-25,2.241412600586873355e-49,1.041895568984926795e-24,1.085546376670424313e-48,2.482031816094332032e-24,6.160481936104528199e-48,-5.978475919760153903e-24,3.574217432315201887e-47
-3.971999999999999975e+00,1.090773726913279916e+03,2.692682147781523787e-25,7.250537148981319584e-50,-1.461509191488449594e-25,2.136009116805221521e-50,-5.919332060131486847e-25,3.503849203810047525e-49,1.302473043188765443e-24,1.696436028233403730e-48,3.102120682013975919e-24,9.623152725778854953e-48,-7.470296225493265415e-24,5.580532569661892963e-47
-3.967999999999999972e+00,1.086086663802879912e+03,3.326255640264510846e-25,1.106397658439147185e-49,-1.805330546861467867e-25,3.259218383431126541e-50,-7.310226361236053016e-25,5.343940945251050666e-49,1.608248279233878926e-24,2.586462527658732645e-48,3.829488589105445778e-24,1.466498285408881727e-47,-9.219466486285838568e-24,8.499856229174774398e-47
-3.963999999999999968e+00,1.081414395918080118e+03,4.075475692622541166e-25,1.660950212115718183e-49,-2.211886949878360670e-25,4.892443879042197308e-50,-8.954323590578883365e-25,8.017991096479750019e-49,1.969589956517558647e-24,3.879284596814838446e-48,4.688713075667460636e-24,2.198403030593502066e-47,-1.128485695946133797e-23,1.273479965955029890e-46
-3.959999999999999964e+00,1.076756892799999832e+03,4.965778916860354790e-25,2.465896025113479781e-49,-2.694973980914286186e-25,7.262884757804995421e-50,-1.090722517601436973e-24,1.189675610402817016e-48,2.398686949210125766e-24,5.753699080310980318e-48,5.708674701301100899e-24,3.258896684527521180e-47,-1.373561408623467920e-23,1.886670943259685311e-46
-3.955999999999999961e+00,1.072114124020479949e+03,6.027241752434923021e-25,3.632764314229479920e-49,-3.270902685674743888e-25,1.069880437915425317e-49,-1.323464657131373154e-24,1.751558698675863201e-48,2.909941269555032668e-24,8.467758192259555623e-48,6.923484574778079314e-24,4.793463865719000402e-47,-1.665337179970910207e-23,2.773347922993463731e-46
-3.951999999999999957e+00,1.067486059182079998e+03,7.295550496396720050e-25,5.322505704547442805e-49,-3.959025341967065275e-25,1.567388165833743731e-49,-1.601452788379100226e-24,2.564651033407195294e-48,3.520429356650259677e-24,1.239342285516496063e-47,8.373572745818873205e-24,7.011672052952062272e-47,-2.013484511210002484e-23,4.054119876882582927e-46
